N: 20; d: 20
Train 3: 0.80112 	 r2: 0.22258
Valid 3: 0.77708 	 r2: 0.18758
Train 4: 0.81772 	 r2: 0.24806
Valid 4: 0.79840 	 r2: 0.20217
Train 5: 0.83030 	 r2: 0.26753
Valid 5: 0.81252 	 r2: 0.22891
Train 6: 0.84014 	 r2: 0.28456
Valid 6: 0.81769 	 r2: 0.24428
Train 7: 0.84794 	 r2: 0.30007
Valid 7: 0.82067 	 r2: 0.25036
Train 8: 0.85309 	 r2: 0.31121
Valid 8: 0.82088 	 r2: 0.24799
Train 9: 0.85693 	 r2: 0.32004
Valid 9: 0.82045 	 r2: 0.24769
Train 10: 0.85990 	 r2: 0.32685
Valid 10: 0.82053 	 r2: 0.24768
Train 11: 0.86250 	 r2: 0.33292
Valid 11: 0.82099 	 r2: 0.24611
Train 12: 0.86447 	 r2: 0.33738
Valid 12: 0.82113 	 r2: 0.24182
Train 13: 0.86541 	 r2: 0.33957
Valid 13: 0.81883 	 r2: 0.23788
Train 14: 0.86006 	 r2: 0.32638
Valid 14: 0.81388 	 r2: 0.22846
Train 15: 0.86442 	 r2: 0.33757
Valid 15: 0.81328 	 r2: 0.22328
Train 16: 0.86395 	 r2: 0.33576
Valid 16: 0.81350 	 r2: 0.22115
Train 17: 0.86641 	 r2: 0.34233
Valid 17: 0.81277 	 r2: 0.22785
Finish: (0.8211315213983414, 0.2418180587736456)
Test 18: 0.83004 	 r2: 0.25227
Train 1: 0.67833 	 r2: 0.06311
Valid 1: 0.75751 	 r2: 0.14039
Train 2: 0.78687 	 r2: 0.19513
Valid 2: 0.76433 	 r2: 0.16187
Train 3: 0.79989 	 r2: 0.21998
Valid 3: 0.78042 	 r2: 0.17564
Train 4: 0.81367 	 r2: 0.23862
Valid 4: 0.79681 	 r2: 0.19588
Train 5: 0.82948 	 r2: 0.26560
Valid 5: 0.81087 	 r2: 0.22649
Train 6: 0.83793 	 r2: 0.28041
Valid 6: 0.81569 	 r2: 0.24172
Train 7: 0.84378 	 r2: 0.29111
Valid 7: 0.81865 	 r2: 0.24867
Train 8: 0.84910 	 r2: 0.30250
Valid 8: 0.82042 	 r2: 0.25114
Train 9: 0.85350 	 r2: 0.31230
Valid 9: 0.82014 	 r2: 0.25048
Train 10: 0.85638 	 r2: 0.31859
Valid 10: 0.81830 	 r2: 0.24503
Train 11: 0.85838 	 r2: 0.32303
Valid 11: 0.81825 	 r2: 0.23874
Train 12: 0.85675 	 r2: 0.32004
Valid 12: 0.82068 	 r2: 0.23881
Train 13: 0.86000 	 r2: 0.32658
Valid 13: 0.81990 	 r2: 0.24852
Train 14: 0.86582 	 r2: 0.34052
Valid 14: 0.82044 	 r2: 0.24510
Train 15: 0.86758 	 r2: 0.34474
Valid 15: 0.81896 	 r2: 0.24082
Train 16: 0.86665 	 r2: 0.34176
Valid 16: 0.81729 	 r2: 0.23935
Train 17: 0.86985 	 r2: 0.34995
Valid 17: 0.81637 	 r2: 0.23369
Finish: (0.820675602601632, 0.23880899589555915)
Test 18: 0.83257 	 r2: 0.25565
Train 1: 0.71264 	 r2: 0.09752
Valid 1: 0.76020 	 r2: 0.14968
Train 2: 0.78830 	 r2: 0.20156
Valid 2: 0.76882 	 r2: 0.17285
Train 3: 0.80649 	 r2: 0.22981
