N: 20; d: 20
Valid 3: 0.80490 	 r2: 0.22190
Train 4: 0.83180 	 r2: 0.26829
Valid 4: 0.81468 	 r2: 0.23936
Train 5: 0.83799 	 r2: 0.27852
Valid 5: 0.81546 	 r2: 0.24247
Train 6: 0.84197 	 r2: 0.28601
Valid 6: 0.81783 	 r2: 0.24586
Train 7: 0.84548 	 r2: 0.29300
Valid 7: 0.81892 	 r2: 0.24796
Train 8: 0.84895 	 r2: 0.30060
Valid 8: 0.81967 	 r2: 0.25022
Train 9: 0.85257 	 r2: 0.30876
Valid 9: 0.82013 	 r2: 0.25119
Train 10: 0.85515 	 r2: 0.31465
Valid 10: 0.81765 	 r2: 0.24253
Train 11: 0.85455 	 r2: 0.31398
Valid 11: 0.81859 	 r2: 0.24816
Train 12: 0.85493 	 r2: 0.31409
Valid 12: 0.81654 	 r2: 0.24043
Train 13: 0.85762 	 r2: 0.32030
Valid 13: 0.81738 	 r2: 0.24149
Train 14: 0.86047 	 r2: 0.32659
Valid 14: 0.81855 	 r2: 0.24220
Finish: (0.8201273378729148, 0.25119453287370264)
Test 15: 0.83398 	 r2: 0.26812
Train 1: 0.54925 	 r2: -0.26632
Valid 1: 0.75085 	 r2: 0.09765
Train 2: 0.77667 	 r2: 0.17102
Valid 2: 0.76110 	 r2: 0.16044
Train 3: 0.79347 	 r2: 0.21016
Valid 3: 0.76802 	 r2: 0.17658
Train 4: 0.80561 	 r2: 0.22897
Valid 4: 0.78176 	 r2: 0.19236
Train 5: 0.81770 	 r2: 0.24722
Valid 5: 0.79298 	 r2: 0.20604
Train 6: 0.82779 	 r2: 0.26235
Valid 6: 0.80434 	 r2: 0.21924
Train 7: 0.83604 	 r2: 0.27635
Valid 7: 0.81515 	 r2: 0.23832
Train 8: 0.84304 	 r2: 0.29000
Valid 8: 0.81985 	 r2: 0.25204
Train 9: 0.84826 	 r2: 0.30110
Valid 9: 0.82119 	 r2: 0.25283
Train 10: 0.85111 	 r2: 0.30749
Valid 10: 0.82199 	 r2: 0.25387
Train 11: 0.85360 	 r2: 0.31313
Valid 11: 0.82214 	 r2: 0.25346
Train 12: 0.85603 	 r2: 0.31875
Valid 12: 0.82257 	 r2: 0.25357
Train 13: 0.85839 	 r2: 0.32417
Valid 13: 0.82277 	 r2: 0.25276
Train 14: 0.86050 	 r2: 0.32902
Valid 14: 0.82279 	 r2: 0.25252
Train 15: 0.86204 	 r2: 0.33250
Valid 15: 0.82206 	 r2: 0.24903
Train 16: 0.85950 	 r2: 0.32614
Valid 16: 0.81498 	 r2: 0.23506
Train 17: 0.86292 	 r2: 0.33410
Valid 17: 0.81921 	 r2: 0.24060
Train 18: 0.86569 	 r2: 0.34069
Valid 18: 0.81823 	 r2: 0.23360
Train 19: 0.86765 	 r2: 0.34557
Valid 19: 0.81835 	 r2: 0.23492
Finish: (0.8227943938259605, 0.25251819121123886)
Test 20: 0.83509 	 r2: 0.26889
Train 1: 0.65461 	 r2: 0.04492
Valid 1: 0.75809 	 r2: 0.14967
Train 2: 0.78896 	 r2: 0.20033
Valid 2: 0.76552 	 r2: 0.17232
Train 3: 0.80501 	 r2: 0.22741
Valid 3: 0.78661 	 r2: 0.19471
Train 4: 0.82445 	 r2: 0.25690
Valid 4: 0.81218 	 r2: 0.23738
Train 5: 0.83587 	 r2: 0.27603
Valid 5: 0.81738 	 r2: 0.24608
Train 6: 0.84187 	 r2: 0.28736
Valid 6: 0.81922 	 r2: 0.24951
Train 7: 0.84521 	 r2: 0.29458
Valid 7: 0.82020 	 r2: 0.25082
Train 8: 0.84816 	 r2: 0.30133
Valid 8: 0.81962 	 r2: 0.25007
Train 9: 0.84989 	 r2: 0.30523
Valid 9: 0.82160 	 r2: 0.25332
Train 10: 0.85063 	 r2: 0.30642
Valid 10: 0.81606 	 r2: 0.23879
Train 11: 0.85456 	 r2: 0.31533
Valid 11: 0.81848 	 r2: 0.24091
Train 12: 0.85778 	 r2: 0.32280
Valid 12: 0.81831 	 r2: 0.23693
Train 13: 0.86034 	 r2: 0.32874
Valid 13: 0.81780 	 r2: 0.24005
Train 14: 0.86271 	 r2: 0.33421
Valid 14: 0.81838 	 r2: 0.24619
Finish: (0.8216044996103287, 0.2533161056530058)
