N: 1; d: 20
Valid 10: 0.81061 	 r2: 0.23422
Train 11: 0.85152 	 r2: 0.30215
Valid 11: 0.80997 	 r2: 0.23316
Train 12: 0.85385 	 r2: 0.30783
Valid 12: 0.80780 	 r2: 0.22855
Train 13: 0.85366 	 r2: 0.30929
Valid 13: 0.81194 	 r2: 0.23902
Train 14: 0.86222 	 r2: 0.32700
Valid 14: 0.81240 	 r2: 0.23882
Train 15: 0.86620 	 r2: 0.33667
Valid 15: 0.81322 	 r2: 0.23960
Train 16: 0.86952 	 r2: 0.34501
Valid 16: 0.81317 	 r2: 0.23926
Train 17: 0.87216 	 r2: 0.35173
Valid 17: 0.81247 	 r2: 0.23578
Train 18: 0.87373 	 r2: 0.35567
Valid 18: 0.81156 	 r2: 0.23129
Train 19: 0.87579 	 r2: 0.36095
Valid 19: 0.81234 	 r2: 0.23403
Train 20: 0.87977 	 r2: 0.37126
Valid 20: 0.81112 	 r2: 0.22984
Finish: (0.8132163910416035, 0.23959804195658407)
Test 21: 0.82987 	 r2: 0.26168
Train 1: 0.68053 	 r2: -0.00182
Valid 1: 0.75748 	 r2: 0.14730
Train 2: 0.78598 	 r2: 0.19947
Valid 2: 0.76316 	 r2: 0.17176
Train 3: 0.79616 	 r2: 0.21387
Valid 3: 0.77089 	 r2: 0.17835
Train 4: 0.80814 	 r2: 0.22963
Valid 4: 0.78006 	 r2: 0.18985
Train 5: 0.81595 	 r2: 0.24180
Valid 5: 0.78592 	 r2: 0.19711
Train 6: 0.82200 	 r2: 0.25058
Valid 6: 0.79199 	 r2: 0.20389
Train 7: 0.82761 	 r2: 0.25890
Valid 7: 0.79556 	 r2: 0.20688
Train 8: 0.83387 	 r2: 0.26860
Valid 8: 0.80353 	 r2: 0.22032
Train 9: 0.84063 	 r2: 0.27993
Valid 9: 0.80694 	 r2: 0.22534
Train 10: 0.84631 	 r2: 0.29100
Valid 10: 0.81022 	 r2: 0.23255
Train 11: 0.85218 	 r2: 0.30314
Valid 11: 0.81082 	 r2: 0.23409
Train 12: 0.85602 	 r2: 0.31223
Valid 12: 0.80996 	 r2: 0.23291
Train 13: 0.85693 	 r2: 0.31539
Valid 13: 0.80933 	 r2: 0.23008
Train 14: 0.86012 	 r2: 0.32347
Valid 14: 0.81105 	 r2: 0.23575
Train 15: 0.86675 	 r2: 0.33816
Valid 15: 0.81039 	 r2: 0.23412
Train 16: 0.87066 	 r2: 0.34748
Valid 16: 0.81000 	 r2: 0.23254
Train 17: 0.87355 	 r2: 0.35487
Valid 17: 0.80847 	 r2: 0.22834
Train 18: 0.87421 	 r2: 0.35699
Valid 18: 0.80756 	 r2: 0.22613
Train 19: 0.87438 	 r2: 0.35815
Valid 19: 0.80828 	 r2: 0.22683
Finish: (0.8110466407375402, 0.23574534668905667)
Test 20: 0.82759 	 r2: 0.25623
Train 1: 0.68465 	 r2: 0.00862
Valid 1: 0.75771 	 r2: 0.14752
Train 2: 0.78576 	 r2: 0.19843
Valid 2: 0.76267 	 r2: 0.17114
Train 3: 0.79578 	 r2: 0.21324
Valid 3: 0.77193 	 r2: 0.17993
Train 4: 0.80930 	 r2: 0.23119
Valid 4: 0.78136 	 r2: 0.19124
Train 5: 0.81732 	 r2: 0.24343
Valid 5: 0.78771 	 r2: 0.19917
Train 6: 0.82277 	 r2: 0.25136
Valid 6: 0.79157 	 r2: 0.20385
Train 7: 0.82804 	 r2: 0.25952
Valid 7: 0.79638 	 r2: 0.20872
Train 8: 0.83387 	 r2: 0.26879
Valid 8: 0.80100 	 r2: 0.21506
Train 9: 0.83982 	 r2: 0.27908
Valid 9: 0.80298 	 r2: 0.21641
Train 10: 0.84394 	 r2: 0.28724
Valid 10: 0.80700 	 r2: 0.22393
Train 11: 0.84713 	 r2: 0.29431
Valid 11: 0.80813 	 r2: 0.23046
Train 12: 0.85338 	 r2: 0.30731
Valid 12: 0.80965 	 r2: 0.23165
Train 13: 0.85790 	 r2: 0.31723
Valid 13: 0.80973 	 r2: 0.23137
Train 14: 0.86031 	 r2: 0.32339
