N: 20; d: 20
Valid 13: 0.81389 	 r2: 0.22402
Finish: (0.818230709992132, 0.24492987784652032)
Test 14: 0.83231 	 r2: 0.26118
Train 1: 0.74972 	 r2: 0.14703
Valid 1: 0.75869 	 r2: 0.15170
Train 2: 0.78994 	 r2: 0.20573
Valid 2: 0.78058 	 r2: 0.18925
Train 3: 0.82188 	 r2: 0.25245
Valid 3: 0.80901 	 r2: 0.23364
Train 4: 0.83660 	 r2: 0.27679
Valid 4: 0.81537 	 r2: 0.24500
Train 5: 0.84476 	 r2: 0.29321
Valid 5: 0.81929 	 r2: 0.24900
Train 6: 0.85093 	 r2: 0.30625
Valid 6: 0.82014 	 r2: 0.24899
Train 7: 0.85546 	 r2: 0.31621
Valid 7: 0.82105 	 r2: 0.25045
Train 8: 0.85765 	 r2: 0.32102
Valid 8: 0.81927 	 r2: 0.24917
Train 9: 0.85699 	 r2: 0.31945
Valid 9: 0.81791 	 r2: 0.24627
Train 10: 0.85850 	 r2: 0.32293
Valid 10: 0.81514 	 r2: 0.23390
Train 11: 0.86071 	 r2: 0.32726
Valid 11: 0.81617 	 r2: 0.24346
Train 12: 0.86256 	 r2: 0.33228
Valid 12: 0.81854 	 r2: 0.24732
Finish: (0.8210455135129819, 0.25044609698225095)
Test 13: 0.83392 	 r2: 0.26644
Train 1: 0.70752 	 r2: 0.04398
Valid 1: 0.75938 	 r2: 0.15295
Train 2: 0.78265 	 r2: 0.19505
Valid 2: 0.77213 	 r2: 0.16012
Train 3: 0.80630 	 r2: 0.22903
Valid 3: 0.79585 	 r2: 0.19679
Train 4: 0.82815 	 r2: 0.26264
Valid 4: 0.81370 	 r2: 0.23565
Train 5: 0.84114 	 r2: 0.28642
Valid 5: 0.82086 	 r2: 0.25331
Train 6: 0.84941 	 r2: 0.30436
Valid 6: 0.82231 	 r2: 0.25359
Train 7: 0.85449 	 r2: 0.31582
Valid 7: 0.82275 	 r2: 0.25326
Train 8: 0.85879 	 r2: 0.32554
Valid 8: 0.82156 	 r2: 0.24981
Train 9: 0.86164 	 r2: 0.33187
Valid 9: 0.81985 	 r2: 0.24530
Train 10: 0.86147 	 r2: 0.33067
Valid 10: 0.81713 	 r2: 0.23369
Train 11: 0.86273 	 r2: 0.33371
Valid 11: 0.81735 	 r2: 0.24219
Train 12: 0.86795 	 r2: 0.34691
Valid 12: 0.81838 	 r2: 0.23713
Finish: (0.8227473205019282, 0.25325732012139135)
Test 13: 0.83577 	 r2: 0.27035
N: 30; d: 20
Train 1: 0.52582 	 r2: -0.49375
Valid 1: 0.72676 	 r2: -0.01718
Train 2: 0.74293 	 r2: 0.14320
Valid 2: 0.75968 	 r2: 0.16122
Train 3: 0.79004 	 r2: 0.20500
Valid 3: 0.76170 	 r2: 0.16886
Train 4: 0.79411 	 r2: 0.21303
Valid 4: 0.76381 	 r2: 0.17240
Train 5: 0.79768 	 r2: 0.21814
Valid 5: 0.76994 	 r2: 0.17952
Train 6: 0.80731 	 r2: 0.23156
Valid 6: 0.78341 	 r2: 0.19603
Train 7: 0.82024 	 r2: 0.25053
Valid 7: 0.79733 	 r2: 0.20695
Train 8: 0.82982 	 r2: 0.26583
Valid 8: 0.80797 	 r2: 0.22490
Train 9: 0.83899 	 r2: 0.28264
Valid 9: 0.81575 	 r2: 0.24140
Train 10: 0.84526 	 r2: 0.29525
Valid 10: 0.81848 	 r2: 0.24823
Train 11: 0.84965 	 r2: 0.30448
Valid 11: 0.81952 	 r2: 0.24955
Train 12: 0.85235 	 r2: 0.31058
Valid 12: 0.82010 	 r2: 0.25054
Train 13: 0.85454 	 r2: 0.31537
Valid 13: 0.82003 	 r2: 0.24992
Train 14: 0.85558 	 r2: 0.31769
Valid 14: 0.81942 	 r2: 0.24711
Train 15: 0.85633 	 r2: 0.31945
Valid 15: 0.81820 	 r2: 0.24014
